wuxing,score,mod1,mod2,jixiong,brief,description,detail
土土水,65,559,660,凶,虽可成功于一时，但因基础不稳，易招致失败。,青年运多劳苦，于中年虽可成功于一时，但因基础运不稳，恐将再招致崩溃失败之命运，也有的变成破财或急变凶祸之危。,"1、总论：青少年运不佳，中年或许有一时的成功，可惜因顽强的个性或好充面子而遭受损失，最后有陷于失败的灵意。慎防意外灾厄，天运五行属土时有早亡之兆。
2、性格：表面温和，内在个性强又好出风头，讲话也不认输，做事欠考虑，容易惹火烧身或卷入朋友是非中，平白遭受损失，宜慎重。一生亲友少助，靠孤军奋斗。
3、意志：意志不坚定，思想及事业多变化，做事总是一意孤行，碰到的困难较多。
4、事业：这种配置对事业的重重考验很多，要求稳定绝非易事，忍耐可减忧。
5、家庭：配偶与长上不和睦，夫妻亦难圆满，有子女多累之兆，注意婚姻危机。
6、婚姻：男娶懦弱固执之妻，婚后生活不美满；女嫁固执寡和之夫，婚后多争吵。
7、子女：女孩多于男孩，个性较孤独，身体状况也稍差。
8、社交：人缘不错但社交不佳，常为强辩而得罪人，与人相处颇多不适应之感，容易卷入朋友是非。
9、精神：内外都不能如意，精神烦闷不安，应多保重身体为要。
10、财运：财运不佳，应未雨绸缪，多节俭为要，以免常为财务而困扰。
11、健康：易患胃肠、心肌病、泌尿系统等症。
12、老运：晚景无显著进展，有力不从心之兆，缺乏天伦之乐。"
土金木,70,571,682,凶,虽可得长辈之提拔而成功于一时，但因基础不稳，易遭意外。,劳心不绝，基础不稳，须防意外之遭难或惹祸端，外见安定，内实不然。虽可得长者或上位之提拔或惠泽，而成功发展于一时，但若不很小心，则恐怕是终有颠覆之虑。,"1、总论：有成功发展之运势，得祖荫或意外之助，但因性急、任性、好强，易受亲友之累或因事业失败而反覆不安，应特别小心。有外伤、灾病之兆。天运五行为火，中年前有意外之灾。
2、性格：为人主观好胜，竟争心特强，疑心也重，对妻子或晚辈不够友善，好吹虚言，天性喜助他人，容易被卷入朋友是非中，但有误打误撞而得到事业财产之兆。
3、意志：意志不坚定，有与身份不相应之企图，但有耐性，有忍受坚苦，突破困难之魄力。
4、事业：青年时运途不安，多劳苦之象。中年可成功一时，注意晚境再陷入困难，慎防免受灾。
5、家庭：父母虽有荫，但夫妻、子女都不能和睦。
6、婚姻：男娶操劳固执之妻，婚后妻子多怨言；女嫁温厚固执之夫，婚后大致圆满。
7、子女：子女虽聪明能干但独立心强，长大后与父母意见不和。
8、社交：人缘社交均不错，对外乐观，内有空虚之感，有言过其实之倾向，常在不知不觉中刺伤他人。
9、精神：外表乐观，其实内心不安定，有后顾之忧。
10、财运：六运五行变化大，一生之中时富时贫不太稳定，应慎重行事，以保财运，。
11、健康：易患神经衰弱、泌尿系统、脚伤、妇科病等。
12、老运：晚景虽有财运，但缺乏天伦之乐，有孤独之兆。"
土金火,65,573,684,凶,虽有先辈栽培可获成功，惟境遇不安定。,虽有长辈或上司之惠泽栽培，而可获得成功发展于一时，但因基础运甚劣，须提防火灾，且其境遇绝对不安定，尤其交通上，容易遭难。家庭也多破乱之凶象，而且极容易因得罪人而遭受武器杀伤之危。,"1、总论：理想太高，虽有忍耐性不怕失败，但总敌不过命运的安排，如中途而自暴自弃者，有陷入失败，财务困难、外伤、灾病之恶意。
2、性格：主观又好胜，竟争心也强，不能容许别人超过自己，这种个性虽容易突破困难而成功，但失败亦快，注意成长时期流于问题少年。
3、意志：意志不够坚定，思想易变，事事虽安定，但耐性尚佳，能忍耐艰苦。
4、事业：您虽有创业精神，但难关重重，又理想太高，恐难如愿，有误打误撞而成功者。
5、家庭：父母少荫，夫妻无法和睦，子女反抗心也甚强。
6、婚姻：男娶好胜好强之妻，婚后时有争吵；女嫁温厚固执之夫，婚后尚称圆满。
7、子女：子女皆活泼而顽固，增加不少麻烦，长大虽有成就，但独立心很强。
8、社交：外缘虽佳，但人际关系欠圆满，容易与人发生吵嘴或斗殴之事而受伤，慎防卷入财务或法律纠纷。
9、精神：内外难和睦，内心常在苦闷中，精神生活不安定。
10、财运：纵有财运也难保，多防意外、拖累或损失，以求老运安祥。
11、健康：易患痔疮、肝炎、肺部、腰酸、脚痛，妇人病等。
12、老运：晚景似乎孤独，心情苦闷难安，事业陷入困境。"
土金土,98,575,686,吉,承蒙上师引进易获成功发展，基础运坚固，境遇安泰，心身健康，可得长寿幸福。,三才配置甚佳，基础运坚固，境遇安泰，喜下属忠心扶助，得长辈或上司之惠泽引进，努力奋斗，可轻易得成功，及伸张发展，很幸福安全之佳名。,"1、总论：青少年时期运气不错，中年时操劳不安，应多培养人际关系，向外发展，方有成就，中年后事业困顿，有财务困难之兆。
2、性格：温厚中带郁闷的个性，表面平静，内心好强好胜，自认为正确的事很难与人妥协，且容易在财务上发生困难受累。
3、意志：意志坚定，做事注重实际与工作，但处事冲动，欠考虑，应改进。
4、事业：适合从事人际较单纯的行业，或技术方面、门市方面等小本生意。
5、家庭：家境尚稳圆满，但夫妻因互不相让时有争吵。
6、婚姻：男娶贤淑好胜之妻，婚后尚称和睦；女嫁温和固执之夫，婚后有争吵。
7、子女：子女运良好，个个都活泼可爱，在社会上都能成功发展，并孝敬父母。
8、社交：有节俭的优点，但情绪不稳定，不善于交际。
9、精神：喜忧参半，表面虽平静，内心则不安宁，常有财务上的困扰。
10、财运：财运虽有不佳，但勤俭之家自有余。
11、健康：易患精神衰弱、肝胆、泌尿系统等症。
12、老运：老景稍平静，精神仍操劳不安，物质生活欠佳。"
土金金,90,577,688,吉,成功运佳，可达目的，惟有陷于顽迷过刚的缺点，甚至招致不和争论，受人攻击。,基础运虽平吉但成功运却甚佳，能得上司或长辈之提拔而得大发展，优秀之良配，但要勤勉，再加上说话及处事均力求和平稳健，而切莫得罪人（不可孤高、自大、刚硬、好胜、出风头等皆忌之，若得罪人须诚心道歉），始方能得大成功及发展。人格地格数，若无凶，身心健而无病。,"1、总论：毅力和活动力很强，做事认真，行事不马虎，很容易在社会上成功成名。若能淡泊名利，凡事三思而后行，保持人际和平者可立于不败之地。但只有小成功的配置。
2、性格：主观好胜心强，竞争心、忍耐也很强，是创业的人才，但因性急又名利心重，常在不知不觉中刺伤别人而引起反感，应注意改进。
3、意志：意志坚定，不易受世俗迷惑，但处事会有冲动之象，隐藏爆发性。
4、事业：做事能力和耐力都够，可闯出一番事业，但因运途有限，大都劳多而利少。
5、家庭：有孝心但表现及言词却相反，夫妻常有吵嘴之情形。
6、婚姻：男娶贤慧好胜之妻，婚后不太圆满；女嫁温厚才干之夫，婚后常有争执。
7、子女：男孩多于女孩，个性较顽强，要注意误入问题少年。
8、社交：外缘及社交能力都很好，但因个性好胜好强，容易得罪别人，如能改进，必能发达。
9、精神：表面乐观，内心常有不满足感，精神不能安定。
10、财运：有得祖荫之兆，否则财运不佳，幸能勤俭，可保平衡，切勿乱投资，劳命伤财。
11、健康：易患肝胆及呼吸系统之毛病。
12、老运：如本性难改，虽有一时的成功，晚景仍不安。"
土金水,55,579,680,凶,有成功运，得以发展。惟有意外或陷于急变没落。,若三才皆吉数，则能得上司惠泽及下属之助，只要戒除自大狂，乃必得辉煌之成功，并伸张发展，而有优越之成就，即为大吉之优良配置。但若人格或地格有凶数者，恐难免于急变没落及招致遭难或意外伤之危险。,"1、总论：人有冲天之志，无运不能自通，具备勤奋及克苦耐劳之美德，虽可成功一时，但不知何故又自己惹来失败的悲运，宜多慎重，守则安，进则凶。
2、性格：个性较为好胜刚强，喜夸张事实，多言少做，有志难伸，眼高手低，常在不平不满中度过。应守人和，方有成功希望，大多六亲无助，靠自力奋斗。
3、意志：意志坚定，做事常一意孤行，但有耐心能忍耐艰苦，追求事业的突破。
4、事业：若不好高骛远，脚踏实地，可安全上升，创造一番事业，但里面隐藏著否定的因素，有急变没落之兆。
5、家庭：易和父母顶嘴，夫妻常有争吵，子女不敬，家内有不安之象，有风流之性质。
6、婚姻：男娶好胜固执之妻，婚后家庭寂寞欠温暖；女嫁温厚寡和之夫，婚后不甚和睦。
7、子女：子女个性较孤独，与父母不和。
8、社交：个性顽刚好胜，争勇好斗，喜攻击他人是非，永不退让，容易与人发生冲突或争执。
9、精神：表面好像乐观坚强，内心却是空虚苦闷，精神生活不安定。
10、财运：从有财运也难保，应未雨绸缪早作积蓄。
11、健康：易患肾脏机能、肺部、外伤等症。
12、老运：晚景寂寞孤独，进退难取舍，身体有疾病，物质享受亦不佳。"
土水木,40,591,602,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳，常有不满。,即使有实力，亦难被承认及欣赏，徒劳无功，心力交瘁，又遭嘲笑，身心过劳而陷于病弱或突发之灾祸，或交通灾变，三才配置甚劣，难获成功，甚至因奇祸而变成短寿之兆。,"1、总论：多才多艺、多灾多难的命运，中年前奔波劳苦，事业经过许多变化，有打破万难而成功者，也有因徒劳无功又遭嘲笑者。天运五行属土时，中年后有发展。
2、性格：人格部29、39划之人，聪明又判断力强，喜欢指挥别人而不居人下，但有宽宏之雅量。人格部19、39、49划之人，有才华但碰到的困难也较多，精神生活不安定，亦不注重物质享受。
3、意志：意志坚定，为理想而奋斗到底，且有耐心，能忍受艰苦，事业上会有突破艰难而成功者。
4、事业：凭自己的理想在奋斗，但成功不大，须有不屈不挠的精神，方能得到最后的成功。
5、家庭：父母缘薄，为家庭操劳，男命者夫妻比较和睦，女命者夫妻不太美满。
6、婚姻：男娶温厚贤慧之妻，婚后圆满；女嫁寡和之夫，婚后不太和睦。
7、子女：子女聪明而活泼，长大后能在社会获得成功，身体状况良好。
8、社交：为人坦诚，易怒易解，外缘社交还可以，喜欢占上风，善于舌辩，不知不觉中也常得罪他人。
9、精神：表面好像若无其事，其实内心急进不安。易受精神上的打击。
10、财运：一瞬间的财运，能持久的人很少，花钱先计划一下，免得赤字连连。
11、健康：易患胃肠、精神衰弱、肾脏机能、妇人病等。
12、老运：老景病弱，不太得志，身心不安，物质生活可保不缺。"
土水火,40,593,604,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳，常有不满。,三才配置甚凶，至劣，不能成功，怀才不遇，殊多破乱变动，克死配偶或变为离婚，家庭难有恩爱幸福，而且绝对不安定，有突发急变之不测凶灾，极端不幸，恐破财或丧生之虑，此乃短命凶死之兆。,"1、总论：有天赋才华，但怀才不遇，容易造成愤世嫉俗的人生观，只要不自暴自弃误入歧途，财源自会与您结缘，中年后成功运尚佳。
2、性格：为人自在自傲，头脑虽聪明，主观意识较为强烈，容易遭受别人的反感与打击，以致内外不和，应注意被卷入财物或法律的是非中。
3、意志：意志不够坚定，理想脱离现实，且有浪费金钱的倾向。
4、事业：事业运很不乐观，困难重重，只要求稳定的行业，不计收入的多寡，待机行事会有成功的机会。
5、家庭：不安定、不和睦，应多忍让，免造成婚姻危机，子女亦难靠，。
6、婚姻：男娶固执寡和之妻，婚后多争执不安；女嫁好强顽劣之夫，婚后难和睦相处。
7、子女：女孩较多，身体稍差，且有灾病之兆，应细心照顾。
8、社交：人缘社交还算可以，但利已心较强，性格孤独交友不广，容易为朋友之事惹上是非，应注意。
9、精神：事事难如愿，精神常在不安定中。
10、财运：青少年操劳，中年后有少许财运，但恐因风流好色而浪费金钱，影响晚年。
11、健康：易患胃肠、心脏病、肾、膀胱、妇人病等。
12、老运：晚景转佳境，但缺乏家庭温暖，内心仍感苦闷，物质生活佳。"
土水土,40,595,606,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳。,人格被上下双夹攻，最坏之三才配置，境遇不安定，而有多变之兆，徒劳而无功，易受人累，常陷于不安中，不能成功亦无法伸张，且有突发之不测凶灾或祸端或急症，导致破产或丧生之短寿兆特浓。,"1、总论：虽有聪明才智，但有志难伸，一生多劳碌，有眼高手低，怀才不遇之感叹，要多忍耐，中年后会有成功机会，财利可得。慎防意外灾病。天运五行属水时发展较快。
2、性格：常有不平不满，怨天忧人，但做事言行坚实，守其信用，在劳苦中求发展，自力创业，是渐进性的发展过程，只怕中途受挫折而心灰意冷，以致前功尽弃，宜培养耐力，定能成功。
3、意志：不够坚定，容易受世俗迷惑，耐心亦不足，处事容易冲动，任性且一意孤行。
4、事业：如为薪水阶级较为适合，但不满于现状，一心想创造一番属于自己的事业现而陷入孤军奋斗。
5、家庭：父母无荫，亲友少助，夫妻不和睦，子女不敬，只能将希望寄托于事业。
6、婚姻：男娶好胜理智之妻，婚后有争吵，但能持家；女嫁有才干而顽强之夫，婚后不甚美满。
7、子女：子女虽有责任，但反抗心很强，长大后独立心重。
8、社交：对外能守信用，言行自大而坚实，有观察力，但社交及人缘都算平庸。
9、精神：精神生活很不安定，心情苦闷，一生劳碌不安。
10、财运：您的努力没有白费，中年后则转入佳境，财源尚丰。
11、健康：易患肾脏、膀胱、胃肠及意外灾病。
12、老运：老景虽转入佳境，但精神仍孤独不安，缺乏家庭温暖。"
土水金,40,597,608,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳，常有不满。,基础运吉，境遇可稍安定，因勤勉而有一时之大成功，但成功运劣，以致不能有所伸张发展，且恐有再败之兆，若人格或地格有凶数者，恐交通生祸或陷于体弱病难，或急功招败，或凶变遭难、祸端危害之虑。,"1、总论：这是一种白手起家、克服艰难而成功的配置。凡事不可太任性太急躁，保持人和处事成功较快，若只顾前进，会带来许多后顾之忧。天运五行属木时，可成功成名。
2、性格：有聪明的头脑和才华，一时怀才不遇也不必感叹，凡事应谦和待人，不要过份自大，多冷静思考，不要急于一时，以免遭到别人的反感与打击，造成创业的阻力。
3、意志：意志坚定，一直在追求自己的理想，但处理事情容易冲动，时常因欠考虑，而导致内外不和。
4、事业：如先求稳定再求发展，可平安无事，若好高骛远，欲速则不达，会因急功而失败。
5、家庭：与父母意见不和，白手起家，妻子有助力但时常闹意见。
6、婚姻：男娶精明勤俭之妻，婚后多争执；女嫁好胜寡和之夫，婚后不和睦，婚姻有危机。
7、子女：子女个性较顽强，长大后在社会上有所成就，虽有孝心，但表现却相反。
8、社交：好胜自大的个性，常引起别人的不满，凡事多替人着想，多忍让而得人和，定能成功。
9、精神：外表似乎乐观，其实内心不安定，凡事困扰多，精神烦闷又不平不满。
10、财运：早年劳碌，中年后财原甚丰。但天运五行属金时，劳而无功。
11、健康：易患胃病、神经痛、骨折等。
12、老运：晚景财源不缺，但欲望太高，精神仍不安定。"
土水水,40,599,600,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳。不过有出异常发达者的可能。,虽然有很勉强的一时之小成，但不能伸张发展，即使暂时成功，也容易再陷落失败，破乱变动殊多，流离失所，本性不诚实，喜好诈骗财色，以致犯了刑罚，又有水灾病难，家庭之困苦不幸等，因急变大灾而陷于孤立贫悲。,"1、总论：这种配置很不平安，早年受到许多艰难困苦，急灾病难，如能逃过灾难，中年后可创立一番事业，成功发展，财源可得，天运五行属火、土之人，中年后成功率很大。
2、性格：有天赋的才华及满腹的理想，常有怀才不遇之叹，容易造成愤世嫉俗的心理，性格孤独与人寡和，并容易被卷入财务或法律的是非中。只要乐观奋斗，可得良机。
3、意志：意志坚定，思想正确，不易受世俗迷惑，耐性亦佳，有创业的毅力。
4、事业：早年奔走他乡谋生，为家庭劳碌，中年或有机会创出一番事业，艰苦中得到成功发展。
5、家庭：六亲缘薄，自力更生，夫妻勤俭持家，共同创业而成功，但常闹意见。
6、婚姻：男娶好强勤俭之妻，婚后不甚美满，家庭欠温暖；女嫁好胜寡和之夫，婚后常有争吵，难和睦。
7、子女：女孩较多，个性孤独，身体衰弱，须虚心照顾。
8、社交：比较好面子，好舌辩，喜欢求表面好看，性格孤高，只为自己的理想而前进，社交及人缘皆平凡。
9、精神：从小就没安定过，精神生活烦闷，物质生活再好，也无法得到安定。
10、财运：早年劳心劳力终有所得，中年可较安定，晚年财运丰。天运属水，一生难发展。
11、健康：易患头疼、胃肠、肾、膀胱、妇人病等。慎防意外灾病。
12、老运：晚景虽财源不缺，但难享天伦之乐，精神苦闷，心情不开朗。"
金木木,40,711,822,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳，尤其易神经衰弱。,双木协力抗一金：基础安泰，得人相助，而达成功安逸，但成功之后，不能向上伸张发展，只能勉强维持原状。但在中、壮年期间：须提防交通事故，车祸或被金属之物所伤致危，甚至遭遇半身不逐而残废。,"1、总论：青少年时期较困苦，中年时期慢慢发展，劳心劳力奋发向上，有少许成功运，若不知足会惹来更多苦劳，而致神经衰弱，且有外伤、他伤之兆。天运五行属土时，发展性较大。
2、性格：为人勤奋，有才华及毅力，但创业过程很不如意，做事主观固执，容易陷入一意孤行，属于外柔内刚的个性，疑心稍重。
3、意志：意志尚称坚定，不断在追求事业上的突破，但有浪费金钱的倾向。
4、事业：须经过千辛万苦方有成就，如从事人际关系较单纯的事业，比较容易成功。
5、家庭：男命者家庭尚称圆满，父母缘薄。女命者夫妻不和，有分居或离散之灵意。
6、婚姻：男娶贤慧好强之妻，婚后大致圆满；女嫁好胜固执之夫，婚后常有争吵。
7、子女：女孩较多，聪明孝顺，其中有身体较虚弱者。
8、社交：为人谦虚客气，但不善交际，诚意待人而不得其门，常有受累之情事。
9、精神：对外乐观，内则苦闷，精神不安定，又有受亲友拖累而操劳不安之倾向。
10、财运：操劳中赚钱，财运平凡，积蓄多寡，在于节俭问题。
11、健康：易患神经衰弱、肝胆机能、胃肠、神经痛、呼吸系统、外伤等。
12、老运：终生操劳，老景精神仍孤独不安，事业受困顿之兆。"
金木火,40,713,824,凶,成功运被压抑，难以有所伸张，徒劳无功，身心过劳。,弱木化火以抗金：基础运之境遇，无事安泰而可成功于一时，但成功运被压制，不能有所伸张。中、壮年期间：须提防交通事故、车祸，或被金属之器所伤致危之虑，西方乃此格之煞方，少去为妙。,"1、总论：凭着才华和毅力，可得相当阶段的成功，如想继续往上爬，可能碰到许多困难，以致产生不平不满，精神过劳，苦闷不堪。一生事业变化很大。
2、性格：有领导和创业的才能，凡事有计划性的安排，有技艺方面的特长，可得人赞赏，为人仁慈，但好面子，有时大言不惭，而被误会有自大之嫌，为人努力且理想颇高。
3、意志：意志坚定，能奋斗到底，耐性亦佳，能忍受艰苦，创立一番事业。
4、事业：青少年劳苦，中年有成功机会，但应适可而止，不可贪得无厌，免劳命伤财，守则无忧。
5、家庭：有父母缘薄或早亡之兆，靠自力更生。男命夫妻较安定，女命恐有反目。
6、婚姻：男娶贤慧之妻，婚后恐为应酬之事多意见冲突；女嫁好胜固执之夫，婚后多争执，恐有仳离。
7、子女：女孩较多于男孩，活泼可爱，长大后在社会上会有成就，帮助父母。
8、社交：人缘社交都很好，对下属也很慈爱，能得朋友意外之助，但也有卷入朋友是非之灵意。
9、精神：表面乐观，内心操劳，精神不安定，为事业劳碌不休。
10、财运：财运平凡，时富时贫不稳定，不必要的浪费要节制，免陷入财务困难。
11、健康：易患脑神经衰弱、胃肠、肝胆机能、内分泌障碍等。
12、老运：晚景苦中带乐，喜忧参半，精神不安之兆，物质不缺。"
金木土,55,715,826,凶,成功运被压抑，难以成功，易生身心过劳，惟境遇尚可得安定。,木向下弥展而避免与金相抗，因此可无交战而获得安然，力求和平而少灾遇之危，基础运克勤安泰无事，而可成功于一时，境遇安定，但难于伸张发展，易患生身心过劳，神经衰弱等病难，或陷于怀才不遇之逆境。中、壮年期间亦须提防交通事故。,"1、总论：这是一种较平凡的配置，若努力向上且忍耐力强，可得正比率的发展，但大成功的机会不多，易生身心过劳，是辛勤得财类型。天运五行属水之人，事业顺利，财源甚丰。
2、性格：为人仁慈，喜欢助他人，有进取心，对家庭有责任感，一生辛勤奋发，但处事较主观固执，容易陷入一意孤行，这一点应改进。
3、意志：意志不够坚定，计划不够周到，处事也有冲动之倾向。
4、事业：属于一种稳定性收入的行业，如薪水阶级、农牧业，成本不大的生意均很适合，也能顺利。
5、家庭：男命者家庭大致圆满，夫妻共同创业。女命者家庭多争执、不和，应多忍让。
6、婚姻：男娶努力节俭之妻，婚后大致和顺；女嫁好胜克勤之夫，婚后有争吵。
7、子女：女孩较多，有责任感又能孝顺。但身体较为虚弱。
8、社交：性格较直率，有话直话，少言而多行，外缘及社交能力均不错。
9、精神：表面似乎无事，为家庭及工作多操劳，精神不安定。
10、财运：劳碌之财，如能节俭，积少成多，仍可小富。
11、健康：易患胃肠、神经衰弱、呼吸器官、头痛等症。
12、老运：一生劳碌，老景尚佳，但仍闲不住，继续辛勤不休。"
金木金,40,717,828,凶,成功运被压抑，难以伸张，常见不安不满，境遇变动多。,双金如钳形夹攻而斩断弱木，最苦、而容易发生交通事故或受金器所伤最危之三才凶配置。境遇横逆多变，迫害殊多，破乱多霉，常感不平、不满之事或有常受欺压之苦，精神残痛，多成多败，饱受折磨，有突发不测之遭难变死之短寿兆。,"1、总论：精神多苦闷，困难重重之象，六亲难靠，靠自力更生，能克服艰难而成功者有之，又有外伤、多病之兆，大都中年前劳碌不安。天运五行属木之人，中年后能够成功发展。
2、性格：有助人之本性，而为他人多劳，一心一意为赚钱而努力，也有中途自暴自弃而沦落者，只要忍耐行事，成功是有望的。
3、意志：意志不够坚定，常凭构想而行事，缺乏实际，耐力不足，处事会有冲动之象。
4、事业：如摒弃依赖之心，早做自力谋生打算，任何艰难挫折当做一种大考验，培养耐力自能成功。
5、家庭：父母无荫，六亲无助，夫妻多争吵，子女不敬，家庭欠温暖。
6、婚姻：男娶好胜固执之妻，婚后不圆满；女嫁顽固性急之夫，婚后多争执。
7、子女：子女个性顽强，与父母意见不和，从小要多予管教。
8、社交：人缘社交均不错，心情时好时坏不稳定，往外发展，成功较快。
9、精神：外表乐观，事事难如愿，心情多苦闷，精神不安定。
10、财运：早期财运不佳，中年后财利可得，大都误打误中而得财。
11、健康：易患肝胆机能、筋骨酸痛、肺病、神经衰弱、精神分裂症等，慎防外伤急厄。
12、老运：一生操劳苦闷，老景转入佳境，但精神仍孤独不安。"
金木水,35,719,820,凶,成功运被压抑，难以伸张，易失败流转。,颇有一时之成就而博得名利，但因成功运被压制，不能有所伸张发展，恐易再陷落流亡、失败、逆境、流浪或遭电击所伤、武器杀伤，甚至变为短寿或染有难治之顽疾，尤其防车祸。,"1、总论：早年有不祥之兆，凭努力及耐力，中年可成功发展，但事业有盛衰起落之灵意，处事应多谨慎注意。天运五行属火之人，中年后财运甚丰。
2、性格：行事稳重可靠，注意实际与工作，肯为他人牺牲，是讲义气的类型，但有时对自己满怀信心，容易陷入一意孤行，应改进。
3、意志：意志坚定，靠自己的毅力突破万难，耐心亦佳，能忍受艰苦，是创业的人才。
4、事业：中年前事业阻挠很多，如能经得起考验，中年后有成就事业之象，但须忍耐导重行事。
5、家庭：父母无荫，亲友难助，夫妻缘薄，子女亦难靠。
6、婚姻：男娶克勤克俭之妻，婚后家内不安；女嫁好胜寡和之夫，婚后多争执。
7、子女：女孩多于男孩，性格较孤独，身体状况不佳。
8、社交：人缘及社交能力还不错，肯为人操劳，但主观较强，容易被人误会，须改进。
9、精神：表面似乎乐观，但理想太高，达成不易，精神烦闷不安。
10、财运：财运不稳定，时贫时富，财务问题应慎重处置。
11、健康：易患神经衰弱、肠胃、头痛、肾脏机能、妇人病等症。
12、老运：一生劳碌，晚景较安定，但家内欠温暖，精神烦闷不安。"
金火木,30,731,842,凶,成功运被极度压抑，难以有所伸张，因不满之结果易生悲观。,得下属之助，基础安定，地位及财产皆颇坚固，但因成功运被压制，乃难于伸张，而生出不满、不平之结果，易伤害脑或有肺呼吸器病，甚至有凶变遭难或自杀、火灾等不祥之虑。,"1、总论：早年多劳苦，靠白手起家，中年事业有成，财利可得，然不可太大意，否则会有下降的倾向。常因自己判断错误而损财。天运五行属火时，中年前财源广进，老境失败不安。
2、性格：待人诚恳，乐于解决别人的困难，不耐孤独无聊的生活，对长上言行不敬，性急而缺乏耐心，依自己的热忱与决心，终可得到应有的报酬。
3、意志：意志坚定，有突破艰难的毅力，但处事容易冲动，有一怒不可收拾之倾向。
4、事业：中年是发展事业的起点，凡事培养耐心，三思而后行，自可成功发展。
5、家庭：男命者与长上不和谐，夫妻圆满，但应戒色。女命者夫妻不睦，慎防桃花运。在家喜欢掌权。
6、婚姻：男娶贤淑持家之妻，婚后家庭和睦；女嫁懦弱寡和之夫，婚后不美满。
7、子女：女孩较多，却都聪明可爱，长大后有所成就，也很孝顺父母。
8、社交：人缘社交都很好，待人诚恳有礼，诚实直率而得信赖，异性缘亦佳。
9、精神：为人似乎乐观进取，常有琐事来困扰，心情苦闷不与人知。
10、财运：中年后财运颇佳，依努力发展成功之兆。
11、健康：易患头痛、神经衰弱、精神分裂症、肺部等疾病。
12、老运：老景钱财不缺，但有孤独不安之兆，多注重精神修养为要。"
金火火,40,733,844,凶,成功运被压抑，难以成功，因不安不满之结果易生悲观。,双火协力攻克一金：因勤勉多闻而在中年或壮年得能以盛运成功，但除非毅力坚强耐久，否则难于有很大之上伸发展，尤须提防言语惹祸或火灾或脑炎之灾害。但喜：人、地两格，至少有其一属23数则较有把握可速成就。,"1、总论：为名为利终日操劳，早年环境多灾变，中年会有成功至，又恐性急误大事，而陷入孤军奋斗、亲友无助之局面，有身心过劳之虞。属于白手成家之类型。
2、性格：爱慕虚荣，好大喜功，性急而不重实际，不耐独处无聊的生活，有桃花运之倾向，应培养耐力、定力，方可立于不败之地。
3、意志：意志不够坚定，容易受世俗迷惑，理想往往脱离现实，所幸靠努力而有所补救。
4、事业：属于操劳得财的行业，虽可闯出一番事业，但精神的付出及艰难很多。
5、家庭：男命恐有因应酬或风流之事而导致夫妻不睦。女性者好胜好强，恐有婚姻危机。
6、婚姻：男娶性急固执之妻，婚后不甚圆满；女嫁懦弱寡和之夫，婚后常争吵。
7、子女：子女个性活泼而顽皮，长大后有所成就，但个性主观好胜，常一意孤行。
8、社交：性急容易得罪人，有时为了好面子，而为他人所累，并有桃花运的倾向。
9、精神：表面大方乐观，但有眼高手低之倾向，精神常在不安定中。
10、财运：中年后财利可得，但有不持久之倾向。天运五行属金之人较稳定。
11、健康：易得头痛、脑溢血、神经衰弱、呼吸系统、精神分裂等症。
12、老运：老景似乎孤独不安，身体有疾患，事业有变化，但钱财不缺。"
金火土,40,735,846,凶,成功运被压抑，难以伸张，境遇虽得稍稍安定，但易生悲观。,基础坚实，境遇可稍得安定，而有一时之成功，但除非毅力坚强耐久，否则难于有很大之上伸发展，身心劳苦，故而易生脑、肺疾等病。,"1、总论：虽然成功运不佳，只要自己有热忱与决心，终能得到应得的报酬，凡事不可操之过急，保持人和，可有成就，财利可得。天运五行属水时，中年后事业发展，财利甚丰。
2、性格：稍倾于自大的个性，好面子且有虚荣心，有心往外发展，但与人交往却有格格不入之感叹，眼高手低，忧郁气闷，以致精神过劳，容易卷入亲友是非中，平白遭受损失。
3、意志：意志坚定，为理想而奋斗到底，但脾气不佳，处事容易冲动。
4、事业：从事人际关系较单纯的行业较适合，以免惹事生非，吃力又不讨好，影响工作心情。
5、家庭：与长上意见不和，夫妻多争执，或因外遇而影响家庭和睦。
6、婚姻：男娶好胜勤劳之妻，婚后不圆满，难免争吵；女嫁懦弱寡和之夫，婚后常有争吵，注意婚姻危机。
7、子女：子女聪明有责任感，长大后在社会上有所成就，也能孝顺父母。
8、社交：待人热心积极而常为他人所累，虚荣心较重，有时明明是吃亏之事，还以为占了便宜，社交不佳。
9、精神：表面装的似乎乐观，但环境压力很重，精神苦闷难安。
10、财运：早年较劳苦，中年有财利，但有受人拖累而陷入困境之兆。
11、健康：易患头痛、神经衰弱、呼吸系统、精神分裂等症。慎防意外急灾病难。
12、老运：晚景尚称安定，天运五行属水时，可享清福。"
